Player1,Error1,Return1,Winner1
Younes El Aynaoui,36.66666667,0.356666667,56.33333333
Yevgeny Kafelnikov,21,0.43,29
Yen-Hsun Lu,4,0.42,4
Xavier Malisse,37,0.413333333,41.16666667
Vince Spadea,35.5,0.41,50.5
Vasek Pospisil,6,0.56,13
Tommy Robredo,24,0.404117647,31
Tommy Haas,34.05,0.42,42.1
Tomas Berdych,29,0.444705882,40.35294118
Todd Martin,36,0.373333333,46.33333333
Tobias Kamke,30,0.4,36
Tim Smyczek,34,0.423333333,37.66666667
Tim Henman,31.85714286,0.395714286,55
Thomaz Bellucci,40,0.41,33
Thomas Johansson,47,0.373333333,48.33333333
Thomas Enqvist,56,0.38,44
Teimuraz Gabashvili,60,0.37,66
Taylor Dent,35.875,0.41,57.75
Steve Johnson,18,0.3,29
Steve Darcis,9.5,0.445,15
Stephane Robert,2,0.41,3
Stefan Koubek,36.5,0.44,42
Stanislas Wawrinka,34.57142857,0.396428571,43.64285714
Somdev Devvarman,36,0.44,30
Sjeng Schalken,25.25,0.3925,25.75
Sergiy Stakhovsky,46,0.41,58
Sergei Bubka,2,0.36,25
Sebastien Grosjean,30.25,0.3875,61
Sargis Sargsian,64,0.396666667,53
Sam Querrey,35.11111111,0.39,41.55555556
Ryan Harrison,28.5,0.405,35.5
Ruben Ramirez-Hidalgo,43,0.44,29
Rogerio Dutra Da Silva,10.66666667,0.376666667,13.33333333
Roger Federer,26.12280702,0.435789474,42.0877193
Robin Soderling,32.33333333,0.436666667,37.22222222
Robin Haase,2,0.49,7
Roberto Bautista-Agut,1,0.45,1
Robby Ginepri,28,0.455384615,38.69230769
Richard Gasquet,27,0.425294118,39.41176471
Ricardo Mello,36,0.43,33.5
Ramon Delgado,64,0.33,43
Rajeev Ram,18,0.54,24
Rainer Schuettler,17.66666667,0.413333333,31.66666667
Rafael Nadal,19.97297297,0.435405405,31.13513514
Radek Stepanek,23.66666667,0.41,26.66666667
Potito Starace,10.5,0.4,22.5
Philipp Petzschner,33,0.365,32
Philipp Kohlschreiber,28.44444444,0.403333333,38.22222222
Peter Polansky,29,0.42,27
Peter Gojowczyk,6,0.43,8
Paul-Henri Mathieu,44.33333333,0.39,59.33333333
Paul Goldstein,30,0.41,36
Paradorn Srichaphan,31.25,0.3925,42.375
Pablo Andujar,6.5,0.395,3.5
Olivier Rochus,22.33333333,0.406666667,40.66666667
Novak Djokovic,31.81395349,0.455348837,35.79069767
Nikolay Davydenko,26.4375,0.46125,24.5
Nicolas Massu,25,0.48,25.8
Nicolas Mahut,9,0.41,14
Nicolas Kiefer,27.125,0.4525,36.625
Nicolas Almagro,50,0.375,54
Milos Raonic,37.16666667,0.375,52.66666667
Mikhail Youzhny,31.46153846,0.447692308,35.07692308
Mikhail Kukushkin,2.666666667,0.403333333,6.666666667
Michal Tabara,40,0.38,39
Michael Llodra,18,0.3625,37.25
Maximo Gonzalez,24,0.48,27
Max Mirnyi,41,0.38,61
Matthew Ebden,4,0.43,11
Martin Verkerk,61,0.36,74
Martin Klizan,26.33333333,0.43,23.33333333
Marsel Ilhan,2,0.45,7
Mark Philippoussis,35.5,0.415,44
Marin Cilic,38.8,0.443,38.1
Mardy Fish,37.57142857,0.452857143,41.35714286
Marcos Baghdatis,12.5,0.3925,32
Marco Chiudinelli,27,0.39,30
Marcel Granollers,13.16666667,0.418333333,20.16666667
Marc Gicquel,52,0.47,57
Marat Safin,39.5,0.4,46.5
Malek Jaziri,4,0.43,9
Lleyton Hewitt,26.74074074,0.468148148,34.2962963
Leonardo Mayer,5.666666667,0.376666667,8.333333333
Kristian Pless,27,0.36,37
Kevin Anderson,20,0.4175,30.25
Kei Nishikori,37.5,0.435,26.5
Karol Kucera,19.5,0.41,34
Karol Beck,69,0.39,53
Jurgen Zopp,4,0.34,11
Jurgen Melzer,31.25,0.4325,35.25
Julien Benneteau,24.85714286,0.415714286,34.14285714
Juan Monaco,15.25,0.4825,17.5
Juan Martin Del Potro,33.25,0.4425,39.8125
Juan Ignacio Chela,20.4,0.444,22.6
Juan Carlos Ferrero,33.42857143,0.424285714,39.42857143
Jose Acasuso,41,0.385,40
Jonas Bjorkman,43,0.475,36.5
John Isner,39.06666667,0.338,56.66666667
Joao Sousa,2.5,0.4,5.5
Joachim Johansson,33.6,0.396,51.4
Jo-Wilfried Tsonga,31.22222222,0.397777778,38.88888889
Jiri Novak,34,0.3925,29.5
Jimmy Wang,3,0.3,7
Jesse Witten,67,0.48,53
Jeremy Chardy,14.75,0.39,21.25
Jean-Rene Lisnard,4,0.48,7
Jarkko Nieminen,8.5,0.45,19.75
Janko Tipsarevic,21.66666667,0.405833333,31.08333333
Jan-Michael Gambill,33,0.45,48
James Blake,37.4,0.4235,43.95
Jack Sock,33.4,0.39,38.4
Ivo Karlovic,33.5,0.31,61.5
Ivan Ljubicic,2,0.36,23
Ivan Dodig,10.75,0.4275,18.75
Igor Sijsling,1,0.33,10
Igor Kunitsyn,4,0.42,7
Igor Andreev,10,0.4,22
Hyung-Taik Lee,33.5,0.43,33
Hicham Arazi,16,0.37,30
Gustavo Kuerten,73,0.38,99
Guillermo Garcia-Lopez,44,0.375,25
Guillermo Coria,24.28571429,0.451428571,33.71428571
Guillermo Canas,32.33333333,0.416666667,25.66666667
Guillaume Rufin,9,0.38,10
Gregory Carraz,40.5,0.36,71
Grega Zemlja,2.5,0.355,11.5
Giorgio Galimberti,40,0.5,39
Gilles Simon,33.66666667,0.42,30.66666667
Gilles Muller,28.85714286,0.321428571,46.57142857
Gaston Gaudio,36,0.415,35
Gael Monfils,29,0.446,36.9
Florian Mayer,21.8,0.51,22.4
Flavio Saretta,40.5,0.495,35
Flavio Cipolla,6,0.465,2
Fernando Verdasco,37.57142857,0.427142857,39.42857143
Fernando Gonzalez,33.4,0.391,51.2
Feliciano Lopez,22.5,0.394,31.3
Fabrice Santoro,13,0.38,42
Fabio Fognini,6.666666667,0.38,9.333333333
Evgeny Donskoy,1.5,0.395,7
Ernests Gulbis,41.66666667,0.43,50
Edouard Roger-Vasselin,1,0.43,10
Dudi Sela,8.5,0.44,5.5
Donald Young,31.4,0.484,38.4
Dominik Hrbaty,61.66666667,0.45,45.66666667
Dmitry Tursunov,16,0.37,25
Dennis Novikov,6,0.29,25
Denis Kudla,5,0.42,7
Denis Istomin,15.5,0.4275,20.5
Davide Sanguinetti,39.5,0.435,43.5
David Nalbandian,38.58823529,0.428235294,41
David Ferrer,31.15789474,0.419473684,32.84210526
Daniel Evans,38,0.46,35.5
Daniel Brands,6,0.38,17
Cyril Saulnier,25,0.32,78
Cedrik-Marcel Stebe,4,0.41,1
Carsten Ball,43,0.32,47
Carlos Moya,36,0.393,51
Carlos Berlocq,28,0.5,23.5
Brian Baker,34,0.37,39.5
Bradley Klahn,45.5,0.375,51
Bjorn Phau,3,0.4,12
Bernard Tomic,39,0.383333333,40.66666667
Benoit Paire,6,0.37,12
Benjamin Becker,32.66666667,0.433333333,44.66666667
Arnaud Clement,35.16666667,0.391666667,48.33333333
Andy Roddick,19.90909091,0.417878788,37.78787879
Andy Murray,29.63333333,0.455,39.96666667
Andrei Pavel,38,0.37,52
Andreas Seppi,40.33333333,0.403333333,33.33333333
Andreas Haider-Maurer,12,0.37,10
Andre Agassi,28.70588235,0.428235294,39.11764706
Alexandr Dolgopolov,21.16666667,0.431666667,28.5
Alex Jr. Bogomolov,34,0.396666667,36
Alejandro Falla,47,0.39,40
Albert Ramos,5,0.44,14
Albert Montanes,7,0.51,13
Albert Costa,26,0.34,34
Agustin Calleri,37,0.42,65
Adrian Mannarino,26.5,0.37,31
